Country,Doses Administered,Doses per 1000,Fully Vaccinated Population (%),Vaccine being used in a country
Sint Maarten (Dutch part),65095,1601.2,65.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Saint Kitts and Nevis,64225,1206.7,50.62,"Oxford/AstraZeneca, Pfizer/BioNTech"
Monaco,49980,1292.1,60.26,Pfizer/BioNTech
San Marino,47100,1394.1,72.33,"Pfizer/BioNTech, Sputnik V"
Turkmenistan,41993,7.0,0.16,"EpiVacCorona, Oxford/AstraZeneca, QazVac, Sinopharm/Beijing, Sputnik V, ZF2001"
Nauru,25172,1981.4,67.58,Oxford/AstraZeneca
Anguilla,24408,1351.0,57.25,"Oxford/AstraZeneca, Pfizer/BioNTech"
Burundi,21264,1.9,0.17,"Johnson&Johnson, Sinopharm/Beijing"
Wallis and Futuna,17959,1136.0,42.98,Moderna
Bonaire Sint Eustatius and Saba,7391,275.7,6.21,"Moderna, Pfizer/BioNTech"
Tuvalu,4772,405.0,0.0,Oxford/AstraZeneca
Montserrat,4544,847.9,36.11,Oxford/AstraZeneca
Falkland Islands,4322,1070.1,42.51,Oxford/AstraZeneca
Saint Helena,3107,393.1,0.0,Oxford/AstraZeneca
Vatican,0,0.0,0.0,
Timor-Leste,0,0.0,0.0,
Micronesia (country),0,0.0,0.0,
Marshall Islands,0,0.0,0.0,
Eritrea,0,0.0,0.0,
